Age,Gender,Year_of_Study,Health_Conditions,Primary_Fitness_Goals,Weekly_Fitness_Commitment,Preferred_Workouts,Current_Activity_Level,Preferred_Workout_Time,Workout_Session_Duration,Dietary_Preferences,Eating_Out_Frequency,Preferred_Meal_Type,Share_Health_Metrics,Anonymous_Participation,Location_Sharing,Preferred_Rewards,Reminder_Preferences,Interest_in_Fitness_Groups,Interest_in_Campus_Fitness_App
18,Other,1st Year,Back Pain,Increase Stamina,1-2 times,Sports,Moderate,Evening,Less than 30 minutes,Other,Often,Salads/Health Foods,No,I don’t wish to participate in social features,No,Group Challenges,Occasionally,No,Unlikely
24,Female,3rd Year,None,Stress Relief,1-2 times,Sports,Low,Night,1 hour,Vegan,Daily,Salads/Health Foods,Only specific data,I don’t wish to participate in social features,No,Badges/Achievements,Daily,Maybe,Somewhat Likely
21,Female,3rd Year,Asthma,General Fitness,Daily,Sports,Very Low,Evening,30-45 minutes,Vegan,Rarely,Salads/Health Foods,No,No,Yes,Personalized Tips,Weekly,No,Unlikely
18,Other,2nd Year,Back Pain,Weight Loss,1-2 times,Sports,Very High,Evening,1 hour,Vegetarian,Occasionally,Indian,Only specific data,I don’t wish to participate in social features,No,College Credits,Weekly,No,Somewhat Likely
19,Other,1st Year,Asthma,Flexibility Improvement,5-6 times,Sports,Moderate,Morning,30-45 minutes,Vegan,Often,Fast Food,Yes,Yes,No,College Credits,Occasionally,No,Neutral
21,Other,4th Year,None,General Fitness,5-6 times,Gym workouts,High,Evening,More than 1 hour,Vegetarian,Rarely,No Preference,Yes,Yes,No,Badges/Achievements,Weekly,Maybe,Very Unlikely
20,Male,4th Year,Asthma,General Fitness,3-4 times,Yoga,Low,Night,1 hour,Other,Often,No Preference,Only specific data,I don’t wish to participate in social features,No,Badges/Achievements,Daily,Yes,Very Unlikely
20,Other,2nd Year,None,General Fitness,3-4 times,Outdoor running/walking,Low,Morning,30-45 minutes,Non-Vegetarian,Often,Salads/Health Foods,No,I don’t wish to participate in social features,No,Leaderboards,Occasionally,Maybe,Neutral
22,Female,2nd Year,Asthma,Weight Loss,1-2 times,Home workouts,Very Low,Afternoon,1 hour,Non-Vegetarian,Occasionally,Indian,Yes,Yes,No,College Credits,Occasionally,Yes,Unlikely
24,Male,3rd Year,Knee Pain,Increase Stamina,3-4 times,Sports,Very High,Early Morning,1 hour,Jain,Often,Indian,Yes,Yes,No,Personalized Tips,Occasionally,No,Very Unlikely
20,Male,3rd Year,None,Muscle Gain,5-6 times,Other,Low,Evening,1 hour,Non-Vegetarian,Occasionally,No Preference,No,Yes,Yes,Leaderboards,Weekly,Yes,Very Unlikely
23,Male,2nd Year,Asthma,General Fitness,3-4 times,Yoga,Very High,Early Morning,30-45 minutes,Other,Often,No Preference,No,I don’t wish to participate in social features,Yes,Group Challenges,Occasionally,Yes,Neutral
19,Other,2nd Year,Asthma,Flexibility Improvement,1-2 times,Yoga,Very Low,Night,Less than 30 minutes,Vegan,Daily,Indian,No,Yes,No,Group Challenges,No reminders,Maybe,Unlikely
21,Female,3rd Year,None,Stress Relief,3-4 times,Home workouts,Low,Afternoon,30-45 minutes,Vegetarian,Daily,Continental,No,I don’t wish to participate in social features,Yes,College Credits,No reminders,Maybe,Very Likely
20,Male,2nd Year,Knee Pain,Stress Relief,5-6 times,Sports,High,Afternoon,1 hour,Vegetarian,Occasionally,Salads/Health Foods,No,No,Yes,Leaderboards,Occasionally,Yes,Neutral
19,Other,1st Year,None,General Fitness,5-6 times,Home workouts,Low,Evening,Less than 30 minutes,Vegetarian,Rarely,No Preference,Yes,Yes,Yes,Badges/Achievements,Occasionally,Maybe,Very Unlikely
24,Male,4th Year,Asthma,Increase Stamina,1-2 times,Home workouts,Moderate,Morning,30-45 minutes,Non-Vegetarian,Daily,Continental,Only specific data,No,No,Personalized Tips,Occasionally,No,Very Unlikely
20,Other,4th Year,Back Pain,Increase Stamina,5-6 times,Home workouts,Very Low,Afternoon,30-45 minutes,Vegan,Often,Continental,Only specific data,Yes,No,Leaderboards,Weekly,No,Very Likely
23,Female,1st Year,None,Muscle Gain,Daily,Outdoor running/walking,Very Low,Afternoon,30-45 minutes,Other,Daily,No Preference,Only specific data,Yes,Yes,Personalized Tips,No reminders,No,Somewhat Likely
22,Other,3rd Year,Knee Pain,Increase Stamina,Daily,Gym workouts,Low,Afternoon,1 hour,Vegan,Occasionally,No Preference,Yes,Yes,No,Badges/Achievements,Weekly,Maybe,Somewhat Likely
19,Male,4th Year,Back Pain,Flexibility Improvement,5-6 times,Other,Moderate,Evening,Less than 30 minutes,Non-Vegetarian,Occasionally,Fast Food,Yes,Yes,Yes,Group Challenges,Daily,Yes,Very Unlikely
22,Other,2nd Year,Back Pain,General Fitness,Daily,Home workouts,Very High,Evening,1 hour,Vegetarian,Daily,No Preference,No,No,Yes,Personalized Tips,Daily,No,Unlikely
21,Male,3rd Year,Knee Pain,Flexibility Improvement,1-2 times,Yoga,Moderate,Early Morning,1 hour,Vegan,Rarely,No Preference,Only specific data,Yes,Yes,Personalized Tips,No reminders,No,Neutral
19,Other,3rd Year,Asthma,Stress Relief,5-6 times,Outdoor running/walking,Moderate,Night,More than 1 hour,Vegan,Daily,Indian,Yes,No,No,Badges/Achievements,No reminders,Maybe,Somewhat Likely
20,Male,1st Year,None,Weight Loss,1-2 times,Yoga,Moderate,Early Morning,30-45 minutes,Other,Rarely,Continental,No,No,Yes,Leaderboards,Daily,No,Neutral
20,Male,1st Year,Knee Pain,Weight Loss,3-4 times,Home workouts,Moderate,Night,Less than 30 minutes,Vegan,Rarely,Fast Food,No,No,No,College Credits,Daily,No,Very Unlikely
18,Female,4th Year,Back Pain,Stress Relief,3-4 times,Home workouts,Low,Early Morning,1 hour,Vegetarian,Daily,Continental,Only specific data,No,Yes,Badges/Achievements,No reminders,Yes,Very Unlikely
18,Male,1st Year,None,Muscle Gain,1-2 times,Yoga,Low,Afternoon,More than 1 hour,Vegan,Rarely,No Preference,Only specific data,I don’t wish to participate in social features,No,Personalized Tips,Weekly,Maybe,Very Unlikely
20,Male,1st Year,None,Muscle Gain,1-2 times,Gym workouts,Very Low,Night,1 hour,Vegan,Rarely,Indian,Only specific data,No,No,Personalized Tips,Daily,Maybe,Neutral
24,Male,3rd Year,None,Weight Loss,Daily,Yoga,Very Low,Night,1 hour,Jain,Often,Indian,No,Yes,No,College Credits,Occasionally,Yes,Somewhat Likely
18,Other,3rd Year,Knee Pain,Flexibility Improvement,5-6 times,Sports,Very Low,Evening,More than 1 hour,Jain,Rarely,Continental,No,I don’t wish to participate in social features,Yes,Personalized Tips,Weekly,No,Somewhat Likely
24,Male,3rd Year,None,General Fitness,1-2 times,Yoga,Very Low,Night,More than 1 hour,Vegetarian,Rarely,No Preference,No,No,No,College Credits,Occasionally,No,Very Unlikely
22,Other,2nd Year,None,Stress Relief,5-6 times,Yoga,Very Low,Evening,30-45 minutes,Vegetarian,Occasionally,Fast Food,Yes,No,No,Badges/Achievements,Daily,No,Neutral
18,Female,1st Year,Knee Pain,Muscle Gain,Daily,Sports,Moderate,Morning,1 hour,Non-Vegetarian,Occasionally,Indian,Yes,I don’t wish to participate in social features,No,College Credits,No reminders,Yes,Neutral
22,Other,1st Year,None,Increase Stamina,1-2 times,Other,Low,Morning,More than 1 hour,Non-Vegetarian,Occasionally,Fast Food,No,I don’t wish to participate in social features,Yes,Group Challenges,Occasionally,Maybe,Very Likely
23,Other,1st Year,None,Flexibility Improvement,Daily,Home workouts,Very Low,Early Morning,More than 1 hour,Vegetarian,Occasionally,Salads/Health Foods,Yes,I don’t wish to participate in social features,Yes,Leaderboards,Occasionally,Maybe,Neutral
18,Female,2nd Year,Knee Pain,Stress Relief,Daily,Outdoor running/walking,Moderate,Early Morning,Less than 30 minutes,Vegetarian,Occasionally,Salads/Health Foods,Yes,Yes,No,Leaderboards,Weekly,No,Unlikely
18,Other,2nd Year,None,Flexibility Improvement,1-2 times,Gym workouts,Moderate,Evening,Less than 30 minutes,Jain,Occasionally,Indian,No,Yes,Yes,Leaderboards,Daily,Maybe,Unlikely
21,Male,1st Year,None,Increase Stamina,5-6 times,Yoga,Moderate,Night,More than 1 hour,Vegan,Rarely,Fast Food,Only specific data,I don’t wish to participate in social features,Yes,Personalized Tips,No reminders,Maybe,Somewhat Likely
23,Male,2nd Year,None,General Fitness,5-6 times,Gym workouts,High,Night,1 hour,Vegetarian,Often,Salads/Health Foods,No,No,Yes,Leaderboards,Weekly,Yes,Unlikely
24,Female,3rd Year,None,Increase Stamina,5-6 times,Yoga,High,Evening,More than 1 hour,Vegetarian,Often,Indian,No,No,Yes,Group Challenges,Weekly,No,Somewhat Likely
21,Female,2nd Year,None,Muscle Gain,3-4 times,Home workouts,Very High,Evening,30-45 minutes,Vegan,Occasionally,Continental,Yes,I don’t wish to participate in social features,No,College Credits,Weekly,Yes,Unlikely
19,Female,3rd Year,Back Pain,Flexibility Improvement,1-2 times,Gym workouts,Very Low,Afternoon,30-45 minutes,Jain,Daily,Salads/Health Foods,Only specific data,Yes,No,Personalized Tips,Daily,No,Unlikely
22,Male,1st Year,None,Muscle Gain,5-6 times,Outdoor running/walking,High,Night,30-45 minutes,Jain,Daily,Continental,No,Yes,Yes,College Credits,Daily,Yes,Somewhat Likely
18,Female,1st Year,None,General Fitness,1-2 times,Home workouts,Very High,Morning,1 hour,Jain,Occasionally,No Preference,Yes,Yes,Yes,Personalized Tips,No reminders,Maybe,Somewhat Likely
20,Female,1st Year,None,Stress Relief,5-6 times,Home workouts,Low,Night,Less than 30 minutes,Other,Often,Continental,No,No,Yes,Leaderboards,Weekly,No,Very Likely
18,Male,1st Year,Asthma,Flexibility Improvement,Daily,Outdoor running/walking,High,Afternoon,Less than 30 minutes,Jain,Often,Continental,Only specific data,I don’t wish to participate in social features,No,Badges/Achievements,No reminders,Yes,Very Likely
22,Female,3rd Year,Back Pain,Increase Stamina,5-6 times,Home workouts,Very High,Night,30-45 minutes,Jain,Occasionally,Salads/Health Foods,Only specific data,I don’t wish to participate in social features,Yes,Group Challenges,Daily,Maybe,Neutral
20,Male,3rd Year,None,Flexibility Improvement,Daily,Home workouts,Very High,Evening,Less than 30 minutes,Jain,Occasionally,No Preference,Yes,No,Yes,Badges/Achievements,No reminders,No,Very Likely
24,Male,2nd Year,None,Weight Loss,5-6 times,Yoga,Very Low,Early Morning,Less than 30 minutes,Vegetarian,Often,Salads/Health Foods,Yes,I don’t wish to participate in social features,No,College Credits,Daily,Yes,Unlikely
19,Male,3rd Year,None,Increase Stamina,Daily,Gym workouts,Very High,Afternoon,Less than 30 minutes,Non-Vegetarian,Often,Continental,Yes,I don’t wish to participate in social features,No,Leaderboards,Occasionally,Maybe,Somewhat Likely
24,Other,1st Year,Back Pain,Increase Stamina,5-6 times,Outdoor running/walking,Moderate,Morning,1 hour,Other,Often,Indian,Only specific data,Yes,Yes,Leaderboards,Weekly,Yes,Very Likely
18,Other,3rd Year,Back Pain,General Fitness,3-4 times,Yoga,High,Night,Less than 30 minutes,Jain,Occasionally,Indian,No,No,Yes,Group Challenges,Daily,No,Very Unlikely
19,Female,3rd Year,Back Pain,Increase Stamina,1-2 times,Other,Very High,Night,1 hour,Vegan,Daily,Continental,Yes,I don’t wish to participate in social features,Yes,College Credits,Daily,Maybe,Somewhat Likely
20,Other,1st Year,Knee Pain,Weight Loss,1-2 times,Home workouts,Moderate,Afternoon,30-45 minutes,Vegan,Daily,Continental,Yes,I don’t wish to participate in social features,Yes,Badges/Achievements,Weekly,No,Somewhat Likely
22,Other,3rd Year,Knee Pain,Increase Stamina,Daily,Sports,Low,Night,30-45 minutes,Vegetarian,Daily,Salads/Health Foods,Yes,I don’t wish to participate in social features,No,Leaderboards,Weekly,Yes,Very Unlikely
18,Other,4th Year,Asthma,Weight Loss,5-6 times,Gym workouts,Moderate,Afternoon,Less than 30 minutes,Non-Vegetarian,Often,Fast Food,No,No,No,Leaderboards,Weekly,Maybe,Very Unlikely
22,Female,1st Year,Asthma,Stress Relief,Daily,Other,Moderate,Afternoon,30-45 minutes,Jain,Often,No Preference,Only specific data,I don’t wish to participate in social features,No,College Credits,Occasionally,Maybe,Neutral
18,Male,2nd Year,None,Muscle Gain,5-6 times,Yoga,Moderate,Morning,Less than 30 minutes,Vegan,Occasionally,No Preference,No,Yes,No,College Credits,Occasionally,No,Neutral
19,Other,2nd Year,None,Stress Relief,Daily,Home workouts,Moderate,Afternoon,Less than 30 minutes,Vegan,Occasionally,Indian,Yes,I don’t wish to participate in social features,No,Group Challenges,Weekly,Maybe,Somewhat Likely
19,Other,2nd Year,Asthma,Weight Loss,3-4 times,Sports,Very High,Early Morning,Less than 30 minutes,Non-Vegetarian,Rarely,Continental,Only specific data,I don’t wish to participate in social features,No,College Credits,Daily,Maybe,Very Unlikely
24,Male,4th Year,Asthma,Flexibility Improvement,1-2 times,Outdoor running/walking,High,Morning,1 hour,Other,Rarely,Salads/Health Foods,Only specific data,Yes,No,Leaderboards,No reminders,No,Neutral
19,Female,2nd Year,Back Pain,Flexibility Improvement,1-2 times,Gym workouts,High,Night,30-45 minutes,Vegan,Rarely,Fast Food,Only specific data,No,No,Group Challenges,Weekly,Yes,Unlikely
18,Male,2nd Year,None,Flexibility Improvement,3-4 times,Gym workouts,Very Low,Early Morning,Less than 30 minutes,Vegan,Often,Continental,Yes,No,No,College Credits,Daily,No,Very Likely
20,Male,3rd Year,Back Pain,Flexibility Improvement,Daily,Gym workouts,Moderate,Evening,1 hour,Jain,Occasionally,Salads/Health Foods,No,No,No,Leaderboards,No reminders,No,Very Unlikely
24,Male,4th Year,Back Pain,Increase Stamina,3-4 times,Sports,Moderate,Morning,Less than 30 minutes,Vegan,Daily,Indian,Only specific data,No,Yes,Badges/Achievements,Weekly,Maybe,Very Unlikely
